2025-07-06 12:55:26 | INFO     | app.core.agents.collector:__init__:38 | web流式响应收集器初始化完成
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_web_agents:205 | 开始注册Web平台智能体...
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_agent:187 | 注册智能体成功: 图片分析智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_agent:187 | 注册智能体成功: 页面分析智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_agent:187 | 注册智能体成功: YAML生成智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_agent:187 | 注册智能体成功: YAML脚本执行智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_agent:187 | 注册智能体成功: Playwright代码生成智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_agent:187 | 注册智能体成功: Playwright执行智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_agent:187 | 注册智能体成功: 脚本数据库保存智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_agent:187 | 注册智能体成功: page_analysis_storage
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_web_agents:266 | Web平台智能体注册完成，共注册 8 个智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:register_stream_collector:351 | 流式响应收集器注册成功
2025-07-06 12:55:26 | INFO     | app.core.agents.base:__init__:38 | 初始化 页面分析智能体 智能体 (ID: page_analyzer)
2025-07-06 12:55:26 | INFO     | app.agents.web.page_analyzer:__init__:47 | 页面分析智能体初始化完成
2025-07-06 12:55:26 | INFO     | app.agents.factory:create_agent:141 | 创建智能体: 页面分析智能体
2025-07-06 12:55:26 | INFO     | app.agents.factory:create_assistant_agent:106 | 创建 AssistantAgent: ui_expert (模型: LLModel.QWENVL)
2025-07-06 12:55:50 | INFO     | app.agents.web.page_analyzer:_parse_analysis_result:169 | 成功解析新格式JSON - 页面: 测试存储功能页面, 元素数量: 3
2025-07-06 12:55:50 | INFO     | app.agents.web.page_analyzer:_send_to_storage_agent:565 | 已发送分析结果到存储智能体，页面: 测试存储功能页面
2025-07-06 12:55:50 | INFO     | app.core.agents.base:__init__:38 | 初始化 页面分析存储智能体 智能体 (ID: page_analysis_storage)
2025-07-06 12:55:50 | INFO     | app.agents.web.page_element_data_storage_agent:__init__:40 | 页面分析存储智能体初始化完成
2025-07-06 12:55:50 | INFO     | app.agents.factory:create_agent:141 | 创建智能体: page_analysis_storage
